2014-04-08 06:21:51+00:00,ShashiTharoor,A scene from our final paryadanam in Neyyattinkara yesterday where a smart bunch of kids came out to welcome us! http://t.co/P6eUtvhtOU,103,250,7
2014-04-08 06:21:32+00:00,ShashiTharoor,"@NaMoKerala @BJPRajagopal Mine is a far more open book. It's a book that has been ripped open, soiled &amp;written over by hostile strangers",103,250,7
2014-04-07 09:38:26+00:00,ShashiTharoor,"All the best! “@balagopalks: @ShashiTharoor Fyi,  An amazing new startup by College students in Trivandrum https://t.co/TrNeWynZzV Req RT”",103,250,7
2014-04-07 09:36:31+00:00,ShashiTharoor,@India_MSM why dignify spiteful slander with a response? No comments.,103,250,7
2014-04-07 09:31:13+00:00,ShashiTharoor,@Vishnu_vedanta it is not the opposite when I am elected. I spend half my time in the constituency working and interacting with the people.,103,250,7
2014-04-07 09:28:04+00:00,ShashiTharoor,An excellent picture of me with a supporter captured by the @MalayalaManorma y-day! Amazing spirit everywhere we go! http://t.co/I8qCAT4YUS,103,250,7
2014-04-07 07:42:32+00:00,ShashiTharoor,Managed 2 give an interview in the middle of a rainy paryadanam in my very useful new raincoat! Photo by @georgeing12 http://t.co/fKO3iRbNDv,103,250,7
2014-04-07 07:33:54+00:00,ShashiTharoor,Our photographer captured some very happy little supporters y-day with a (crumpled!) poster of me during paryadanam! http://t.co/OY176uF7Ui,103,250,7
2014-04-06 12:30:05+00:00,ShashiTharoor,"My latest offering in @Openthemag on the ""unwelcome mat"" and our visa policies that need urgent &amp; serious review: http://t.co/Tdi48SVmqZ",103,250,7
2014-04-06 10:44:25+00:00,ShashiTharoor,@kjaglan This is my answer http://t.co/i078j9trdi,103,250,7
2014-04-06 10:34:48+00:00,ShashiTharoor,My 5-year Report in Malayalam and English on my work in Thiruvananthapuram for those who have not read it yet http://t.co/i078j9trdi,103,250,7
2014-04-06 10:29:59+00:00,ShashiTharoor,"@r_joggy mine is a converted jeep that my team call the ""election mobile""!!",103,250,7
